shipment_date,year,month,quarter,financial_year,is_peak_season,hs_code,hs_desc,dest_iso_alpha3,dest_country_name,reporter_country_name,fob_usd,quantity_kg,unit_price_usd,is_outlier,source
2019-01-01,2019,1,1,FY18-19,False,130232,"Mucilages and thickeners; whether or not modified, derived from locust beans, locust bean seeds or guar seeds",AFG,Afghanistan,India,37443.598,25000.0,1.4977,False,COMTRADE
2019-01-01,2019,1,1,FY18-19,False,130232,"Mucilages and thickeners; whether or not modified, derived from locust beans, locust bean seeds or guar seeds",ARE,United Arab Emirates,India,78495.742,47000.0,1.6701,False,COMTRADE
2019-01-01,2019,1,1,FY18-19,False,130232,"Mucilages and thickeners; whether or not modified, derived from locust beans, locust bean seeds or guar seeds",ARG,Argentina,India,624509.923,351000.0,1.7792,False,COMTRADE
2019-01-01,2019,1,1,FY18-19,False,130232,"Mucilages and thickeners; whether or not modified, derived from locust beans, locust bean seeds or guar seeds",AUS,Australia,India,626564.363,408000.0,1.5357,False,COMTRADE
2019-01-01,2019,1,1,FY18-19,False,130232,"Mucilages and thickeners; whether or not modified, derived from locust beans, locust bean seeds or guar seeds",AUT,Austria,India,41691.543,20000.0,2.0846,False,COMTRADE
2019-01-01,2019,1,1,FY18-19,False,130232,"Mucilages and thickeners; whether or not modified, derived from locust beans, locust bean seeds or guar seeds",BEL,Belgium,India,419293.631,465000.0,0.9017,False,COMTRADE
2019-01-01,2019,1,1,FY18-19,False,130232,"Mucilages and thickeners; whether or not modified, derived from locust beans, locust bean seeds or guar seeds",BGD,Bangladesh,India,6116.648,1765.0,3.4655,False,COMTRADE
2019-01-01,2019,1,1,FY18-19,False,130232,"Mucilages and thickeners; whether or not modified, derived from locust beans, locust bean seeds or guar seeds",BHR,Bahrain,India,7676.365,2100.0,3.6554,False,COMTRADE
2019-01-01,2019,1,1,FY18-19,False,130232,"Mucilages and thickeners; whether or not modified, derived from locust beans, locust bean seeds or guar seeds",BRA,Brazil,India,571965.621,324000.0,1.7653,False,COMTRADE
2019-01-01,2019,1,1,FY18-19,False,130232,"Mucilages and thickeners; whether or not modified, derived from locust beans, locust bean seeds or guar seeds",CAN,Canada,India,234628.18,135000.0,1.738,False,COMTRADE
2019-01-01,2019,1,1,FY18-19,False,130232,"Mucilages and thickeners; whether or not modified, derived from locust beans, locust bean seeds or guar seeds",CHE,Switzerland,India,254965.455,160000.0,1.5935,False,COMTRADE
2019-01-01,2019,1,1,FY18-19,False,130232,"Mucilages and thickeners; whether or not modified, derived from locust beans, locust bean seeds or guar seeds",CHL,Chile,India,984459.84,1584000.0,0.6215,False,COMTRADE
2019-01-01,2019,1,1,FY18-19,False,130232,"Mucilages and thickeners; whether or not modified, derived from locust beans, locust bean seeds or guar seeds",CHN,China,India,14121151.291,10682200.0,1.3219,False,COMTRADE
2019-01-01,2019,1,1,FY18-19,False,130232,"Mucilages and thickeners; whether or not modified, derived from locust beans, locust bean seeds or guar seeds",COL,Colombia,India,64289.192,42000.0,1.5307,False,COMTRADE
2019-01-01,2019,1,1,FY18-19,False,130232,"Mucilages and thickeners; whether or not modified, derived from locust beans, locust bean seeds or guar seeds",DEU,Germany,India,3726088.672,2482100.0,1.5012,False,COMTRADE
2019-01-01,2019,1,1,FY18-19,False,130232,"Mucilages and thickeners; whether or not modified, derived from locust beans, locust bean seeds or guar seeds",DNK,Denmark,India,206857.294,129000.0,1.6035,False,COMTRADE
2019-01-01,2019,1,1,FY18-19,False,130232,"Mucilages and thickeners; whether or not modified, derived from locust beans, locust bean seeds or guar seeds",DZA,Algeria,India,63618.103,44000.0,1.4459,False,COMTRADE
2019-01-01,2019,1,1,FY18-19,False,130232,"Mucilages and thickeners; whether or not modified, derived from locust beans, locust bean seeds or guar seeds",ECU,Ecuador,India,20895.913,14000.0,1.4926,False,COMTRADE
2019-01-01,2019,1,1,FY18-19,False,130232,"Mucilages and thickeners; whether or not modified, derived from locust beans, locust bean seeds or guar seeds",EGY,Egypt,India,68810.577,82150.0,0.8376,False,COMTRADE
2019-01-01,2019,1,1,FY18-19,False,130232,"Mucilages and thickeners; whether or not modified, derived from locust beans, locust bean seeds or guar seeds",ESP,Spain,India,125980.12,159000.0,0.7923,False,COMTRADE
2019-01-01,2019,1,1,FY18-19,False,130232,"Mucilages and thickeners; whether or not modified, derived from locust beans, locust bean seeds or guar seeds",ETH,Ethiopia,India,5717.966,800.0,7.1475,False,COMTRADE
2019-01-01,2019,1,1,FY18-19,False,130232,"Mucilages and thickeners; whether or not modified, derived from locust beans, locust bean seeds or guar seeds",FIN,Finland,India,2167.894,100.0,21.6789,True,COMTRADE
