scenario_pct,month,yhat_usd,ci_low_usd,ci_high_usd
-40,2025-01-01,26799771.58,15087224.5,38512318.67
-40,2025-02-01,28585326.67,14282795.65,42887857.68
-40,2025-03-01,28951344.33,13705746.59,44196942.08
-40,2025-04-01,23016457.66,7397470.37,38635444.96
-40,2025-05-01,22212756.32,6441929.77,37983582.87
-40,2025-06-01,16912303.64,1079106.38,32745500.89
-40,2025-07-01,17251603.63,1392683.35,33110523.9
-40,2025-08-01,15343818.91,0.0,31213365.29
-40,2025-09-01,17886003.3,2012064.35,33759942.26
-40,2025-10-01,19313343.93,3437588.69,35189099.18
-40,2025-11-01,13674846.91,0.0,29551353.26
-40,2025-12-01,26481971.7,10605154.72,42358788.67
-35,2025-01-01,28088277.0,16375729.91,39800824.08
-35,2025-02-01,29873832.08,15571301.07,44176363.09
-35,2025-03-01,30239849.75,14994252.01,45485447.49
-35,2025-04-01,24304963.08,8685975.79,39923950.38
-35,2025-05-01,23501261.74,7730435.18,39272088.29
-35,2025-06-01,18200809.05,2367611.8,34034006.31
-35,2025-07-01,18540109.04,2681188.77,34399029.32
-35,2025-08-01,16632324.32,762777.94,32501870.71
-35,2025-09-01,19174508.72,3300569.76,35048447.68
-35,2025-10-01,20601849.35,4726094.11,36477604.6
-35,2025-11-01,14963352.33,0.0,30839858.68
-35,2025-12-01,27770477.11,11893660.14,43647294.09
-30,2025-01-01,29376782.42,17664235.33,41089329.5
-30,2025-02-01,31162337.5,16859806.49,45464868.51
-30,2025-03-01,31528355.17,16282757.43,46773952.91
-30,2025-04-01,25593468.5,9974481.2,41212455.79
-30,2025-05-01,24789767.15,9018940.6,40560593.71
-30,2025-06-01,19489314.47,3656117.22,35322511.73
-30,2025-07-01,19828614.46,3969694.18,35687534.74
-30,2025-08-01,17920829.74,2051283.36,33790376.13
-30,2025-09-01,20463014.14,4589075.18,36336953.1
-30,2025-10-01,21890354.77,6014599.52,37766110.01
-30,2025-11-01,16251857.75,375351.4,32128364.1
-30,2025-12-01,29058982.53,13182165.56,44935799.5
-25,2025-01-01,30665287.83,18952740.75,42377834.92
-25,2025-02-01,32450842.92,18148311.9,46753373.93
-25,2025-03-01,32816860.59,17571262.85,48062458.33
-25,2025-04-01,26881973.92,11262986.62,42500961.21
-25,2025-05-01,26078272.57,10307446.02,41849099.12
-25,2025-06-01,20777819.89,4944622.63,36611017.14
-25,2025-07-01,21117119.88,5258199.6,36976040.15
-25,2025-08-01,19209335.16,3339788.77,35078881.54
-25,2025-09-01,21751519.56,5877580.6,37625458.51
-25,2025-10-01,23178860.19,7303104.94,39054615.43
-25,2025-11-01,17540363.16,1663856.82,33416869.51
-25,2025-12-01,30347487.95,14470670.98,46224304.92
-20,2025-01-01,31953793.25,20241246.16,43666340.34
-20,2025-02-01,33739348.33,19436817.32,48041879.35
-20,2025-03-01,34105366.0,18859768.26,49350963.74
-20,2025-04-01,28170479.33,12551492.04,43789466.63
-20,2025-05-01,27366777.99,11595951.44,43137604.54
-20,2025-06-01,22066325.3,6233128.05,37899522.56
-20,2025-07-01,22405625.29,6546705.02,38264545.57
-20,2025-08-01,20497840.58,4628294.19,36367386.96
-20,2025-09-01,23040024.97,7166086.01,38913963.93
-20,2025-10-01,24467365.6,8591610.36,40343120.85
-20,2025-11-01,18828868.58,2952362.23,34705374.93
-20,2025-12-01,31635993.36,15759176.39,47512810.34
-15,2025-01-01,33242298.67,21529751.58,44954845.75
-15,2025-02-01,35027853.75,20725322.74,49330384.76
-15,2025-03-01,35393871.42,20148273.68,50639469.16
-15,2025-04-01,29458984.75,13839997.45,45077972.05
-15,2025-05-01,28655283.41,12884456.85,44426109.96
-15,2025-06-01,23354830.72,7521633.47,39188027.98
-15,2025-07-01,23694130.71,7835210.44,39553050.99
-15,2025-08-01,21786345.99,5916799.61,37655892.38
-15,2025-09-01,24328530.39,8454591.43,40202469.35
-15,2025-10-01,25755871.02,9880115.77,41631626.26
-15,2025-11-01,20117374.0,4240867.65,35993880.35
-15,2025-12-01,32924498.78,17047681.81,48801315.75
-10,2025-01-01,34530804.08,22818257.0,46243351.17
-10,2025-02-01,36316359.17,22013828.15,50618890.18
-10,2025-03-01,36682376.84,21436779.1,51927974.58
-10,2025-04-01,30747490.17,15128502.87,46366477.46
-10,2025-05-01,29943788.82,14172962.27,45714615.38
-10,2025-06-01,24643336.14,8810138.88,40476533.39
-10,2025-07-01,24982636.13,9123715.85,40841556.4
-10,2025-08-01,23074851.41,7205305.02,38944397.8
-10,2025-09-01,25617035.81,9743096.85,41490974.77
-10,2025-10-01,27044376.44,11168621.19,42920131.68
-10,2025-11-01,21405879.42,5529373.07,37282385.76
-10,2025-12-01,34213004.2,18336187.23,50089821.17
-5,2025-01-01,35819309.5,24106762.42,47531856.59
-5,2025-02-01,37604864.58,23302333.57,51907395.6
-5,2025-03-01,37970882.25,22725284.51,53216479.99
-5,2025-04-01,32035995.58,16417008.29,47654982.88
-5,2025-05-01,31232294.24,15461467.69,47003120.79
-5,2025-06-01,25931841.56,10098644.3,41765038.81
-5,2025-07-01,26271141.54,10412221.27,42130061.82
-5,2025-08-01,24363356.83,8493810.44,40232903.21
-5,2025-09-01,26905541.22,11031602.26,42779480.18
-5,2025-10-01,28332881.85,12457126.61,44208637.1
-5,2025-11-01,22694384.83,6817878.48,38570891.18
-5,2025-12-01,35501509.61,19624692.64,51378326.59
0,2025-01-01,37107814.92,25395267.83,48820362.0
0,2025-02-01,38893370.0,24590838.99,53195901.01
0,2025-03-01,39259387.67,24013789.93,54504985.41
0,2025-04-01,33324501.0,17705513.7,48943488.3
0,2025-05-01,32520799.66,16749973.1,48291626.21
0,2025-06-01,27220346.97,11387149.72,43053544.23
0,2025-07-01,27559646.96,11700726.69,43418567.24
0,2025-08-01,25651862.24,9782315.86,41521408.63
0,2025-09-01,28194046.64,12320107.68,44067985.6
0,2025-10-01,29621387.27,13745632.02,45497142.52
0,2025-11-01,23982890.25,8106383.9,39859396.6
0,2025-12-01,36790015.03,20913198.06,52666832.0
5,2025-01-01,38396320.34,26683773.25,50108867.42
5,2025-02-01,40181875.42,25879344.41,54484406.43
5,2025-03-01,40547893.09,25302295.35,55793490.83
5,2025-04-01,34613006.42,18994019.12,50231993.71
5,2025-05-01,33809305.07,18038478.52,49580131.63
5,2025-06-01,28508852.39,12675655.13,44342049.64
5,2025-07-01,28848152.38,12989232.1,44707072.65
5,2025-08-01,26940367.66,11070821.27,42809914.05
5,2025-09-01,29482552.06,13608613.1,45356491.02
5,2025-10-01,30909892.69,15034137.44,46785647.93
5,2025-11-01,25271395.67,9394889.32,41147902.01
5,2025-12-01,38078520.45,22201703.48,53955337.42
10,2025-01-01,39684825.75,27972278.67,51397372.84
10,2025-02-01,41470380.83,27167849.82,55772911.85
10,2025-03-01,41836398.5,26590800.76,57081996.24
10,2025-04-01,35901511.83,20282524.54,51520499.13
10,2025-05-01,35097810.49,19326983.94,50868637.04
10,2025-06-01,29797357.81,13964160.55,45630555.06
10,2025-07-01,30136657.8,14277737.52,45995578.07
10,2025-08-01,28228873.08,12359326.69,44098419.46
10,2025-09-01,30771057.47,14897118.52,46644996.43
10,2025-10-01,32198398.1,16322642.86,48074153.35
10,2025-11-01,26559901.08,10683394.74,42436407.43
10,2025-12-01,39367025.87,23490208.89,55243842.84
15,2025-01-01,40973331.17,29260784.08,52685878.25
15,2025-02-01,42758886.25,28456355.24,57061417.26
15,2025-03-01,43124903.92,27879306.18,58370501.66
